department_id,department_name,month,year,total_admissions,avg_length_of_stay,avg_cost,total_revenue,occupancy_rate,nurse_patient_ratio
DEPT000,Emergency Medicine,1,2024,198,7.0,3436,628542,0.8,1.8
DEPT000,Emergency Medicine,2,2024,101,4.1,4663,771177,0.66,1.7
DEPT000,Emergency Medicine,3,2024,172,9.6,5046,723363,0.8,1.4
DEPT000,Emergency Medicine,4,2024,87,5.7,9286,809994,0.79,2.6
DEPT000,Emergency Medicine,5,2024,104,9.6,9621,289658,0.72,1.8
DEPT000,Emergency Medicine,6,2024,73,8.2,6661,292712,0.88,1.1
DEPT000,Emergency Medicine,7,2024,94,4.7,3068,414797,0.92,2.4
DEPT000,Emergency Medicine,8,2024,142,7.4,11982,365975,0.64,2.1
DEPT000,Emergency Medicine,9,2024,198,3.0,13343,997027,0.64,3.0
DEPT000,Emergency Medicine,10,2024,140,3.7,4257,438189,0.7,1.8
DEPT000,Emergency Medicine,11,2024,89,6.1,6131,628503,0.73,1.7
DEPT000,Emergency Medicine,12,2024,133,7.8,10072,554754,0.88,2.8
DEPT001,Cardiology,1,2024,133,2.2,11734,914592,0.7,1.7
DEPT001,Cardiology,2,2024,163,9.4,9982,731656,0.73,2.9
DEPT001,Cardiology,3,2024,179,2.8,4058,391637,0.72,1.0
DEPT001,Cardiology,4,2024,65,7.3,10502,402523,0.69,1.1
DEPT001,Cardiology,5,2024,57,6.9,5973,315199,0.83,2.5
DEPT001,Cardiology,6,2024,119,2.0,7297,713737,0.64,2.6
DEPT001,Cardiology,7,2024,141,2.7,5212,652884,0.85,1.1
DEPT001,Cardiology,8,2024,176,4.9,3611,923590,0.78,2.8
DEPT001,Cardiology,9,2024,138,7.6,6603,640951,0.87,2.8
DEPT001,Cardiology,10,2024,198,9.9,5230,601920,0.67,1.5
DEPT001,Cardiology,11,2024,116,7.4,8042,294968,0.79,2.3
DEPT001,Cardiology,12,2024,52,8.3,10298,217657,0.8,1.8
DEPT002,Orthopedics,1,2024,67,2.7,8254,775230,0.6,2.6
DEPT002,Orthopedics,2,2024,198,6.8,4530,321885,0.87,2.3
DEPT002,Orthopedics,3,2024,126,9.9,4889,649280,0.69,1.2
DEPT002,Orthopedics,4,2024,114,7.8,13119,837668,0.88,2.9
DEPT002,Orthopedics,5,2024,130,4.7,7437,989393,0.84,2.1
DEPT002,Orthopedics,6,2024,166,8.1,3544,731381,0.93,2.6
DEPT002,Orthopedics,7,2024,168,7.2,14810,531124,0.9,2.2
DEPT002,Orthopedics,8,2024,111,4.4,13682,449125,0.85,2.7
DEPT002,Orthopedics,9,2024,196,7.6,6960,265771,0.82,1.4
DEPT002,Orthopedics,10,2024,73,3.7,11354,401386,0.82,2.2
DEPT002,Orthopedics,11,2024,148,9.5,11828,765244,0.76,3.0
DEPT002,Orthopedics,12,2024,102,8.0,6452,214465,0.69,1.5
DEPT003,Neurology,1,2024,88,3.3,13629,985524,0.76,2.7
DEPT003,Neurology,2,2024,148,4.1,6695,828090,0.63,2.3
DEPT003,Neurology,3,2024,107,5.0,10519,979116,0.68,1.2
DEPT003,Neurology,4,2024,79,2.3,8152,912041,0.66,1.1
DEPT003,Neurology,5,2024,70,7.9,10609,764619,0.6,2.8
DEPT003,Neurology,6,2024,149,6.6,5648,226294,0.88,1.7
