department_id,department_name,month,year,total_admissions,avg_length_of_stay,avg_cost,total_revenue,occupancy_rate,nurse_patient_ratio
DEPT000,Emergency Medicine,1,2022,101,5.7,9642,946556,0.81,2.8
DEPT000,Emergency Medicine,2,2022,167,6.7,11236,1795324,0.8,2.7
DEPT000,Emergency Medicine,3,2022,153,2.7,12595,1893944,0.71,1.3
DEPT000,Emergency Medicine,4,2022,69,4.7,7596,527519,0.8,1.8
DEPT000,Emergency Medicine,5,2022,147,7.0,8532,1247262,0.87,1.9
DEPT000,Emergency Medicine,6,2022,120,7.1,9188,1079164,0.88,2.8
DEPT000,Emergency Medicine,7,2022,147,2.8,6758,1008959,0.8,1.9
DEPT000,Emergency Medicine,8,2022,122,7.2,12402,1524116,0.71,2.0
DEPT000,Emergency Medicine,9,2022,145,5.4,5505,793749,0.87,1.5
DEPT000,Emergency Medicine,10,2022,142,6.8,8656,1212026,0.89,1.7
DEPT000,Emergency Medicine,11,2022,124,6.6,6339,806010,0.91,1.2
DEPT000,Emergency Medicine,12,2022,119,7.2,4968,610974,0.84,1.5
DEPT001,Cardiology,1,2022,74,7.1,4639,354028,0.82,1.9
DEPT001,Cardiology,2,2022,119,2.6,13695,1640888,0.91,2.7
DEPT001,Cardiology,3,2022,148,5.5,8983,1364436,0.88,1.9
DEPT001,Cardiology,4,2022,112,3.9,5179,601709,0.89,2.5
DEPT001,Cardiology,5,2022,135,5.3,5724,805892,0.66,1.4
DEPT001,Cardiology,6,2022,91,5.1,11545,1030240,0.83,2.3
DEPT001,Cardiology,7,2022,151,4.0,11913,1749657,0.69,1.6
DEPT001,Cardiology,8,2022,120,4.5,6128,706251,0.81,1.8
DEPT001,Cardiology,9,2022,157,5.6,5509,866708,0.81,1.3
DEPT001,Cardiology,10,2022,144,7.3,10985,1569841,0.85,2.5
DEPT001,Cardiology,11,2022,104,5.3,5195,550258,0.77,2.6
DEPT001,Cardiology,12,2022,179,7.3,5296,993084,0.71,1.3
DEPT002,Orthopedics,1,2022,68,3.6,6472,455578,0.87,1.7
DEPT002,Orthopedics,2,2022,146,5.9,12708,1899029,0.84,2.3
DEPT002,Orthopedics,3,2022,77,5.2,8822,689820,0.8,1.2
DEPT002,Orthopedics,4,2022,139,3.8,9792,1321144,0.83,1.5
DEPT002,Orthopedics,5,2022,84,5.4,5707,467648,0.81,1.7
DEPT002,Orthopedics,6,2022,168,3.7,13312,2266983,0.82,2.4
DEPT002,Orthopedics,7,2022,128,5.2,5738,702935,0.89,2.1
DEPT002,Orthopedics,8,2022,172,3.8,7761,1277945,0.68,2.2
DEPT002,Orthopedics,9,2022,180,3.9,4502,815020,0.75,2.1
DEPT002,Orthopedics,10,2022,117,3.7,8354,988971,0.85,2.4
DEPT002,Orthopedics,11,2022,143,3.2,6141,837237,0.84,1.3
DEPT002,Orthopedics,12,2022,66,4.0,5572,350657,0.75,1.4
DEPT003,Neurology,1,2022,163,6.4,13333,2195137,0.81,2.2
DEPT003,Neurology,2,2022,79,6.1,11306,872635,0.83,1.9
DEPT003,Neurology,3,2022,147,8.2,9715,1387738,0.82,2.2
DEPT003,Neurology,4,2022,84,7.7,8529,732048,0.77,2.2
DEPT003,Neurology,5,2022,96,4.1,8516,791814,0.83,1.4
DEPT003,Neurology,6,2022,122,8.2,7167,917395,0.71,2.4
DEPT003,Neurology,7,2022,92,7.8,4885,435984,0.89,1.6
DEPT003,Neurology,8,2022,83,4.0,7471,615473,0.91,2.0
DEPT003,Neurology,9,2022,68,3.4,9624,636176,0.92,1.8
DEPT003,Neurology,10,2022,175,6.0,4838,854920,0.78,2.0
DEPT003,Neurology,11,2022,158,4.7,6911,1081089,0.82,1.7
DEPT003,Neurology,12,2022,103,6.2,5603,566934,0.9,1.6
DEPT004,Oncology,1,2022,132,8.1,13838,1795485,0.8,2.0
DEPT004,Oncology,2,2022,147,2.7,9609,1392237,0.83,2.1
DEPT004,Oncology,3,2022,126,2.8,6052,792979,0.67,1.7
