age_group,gender,insurance_type,patient_count,avg_length_of_stay,avg_cost,readmission_rate
0-17,F,Aetna,86,5.6,11356,0.245
0-17,F,Aetna,195,4.1,4487,0.122
0-17,F,Aetna,221,6.4,5209,0.125
0-17,F,Aetna,205,4.1,7559,0.115
0-17,F,Aetna,134,4.8,7816,0.225
0-17,F,Aetna,94,3.9,5967,0.17
0-17,F,Anthem,270,6.6,8126,0.229
0-17,F,Anthem,159,6.7,4677,0.182
0-17,F,Blue Cross Blue Shield,147,7.5,10379,0.228
0-17,F,Blue Cross Blue Shield,204,2.6,9901,0.121
0-17,F,Blue Cross Blue Shield,196,5.6,4635,0.175
0-17,F,Blue Cross Blue Shield,246,5.5,3407,0.25
0-17,F,Blue Cross Blue Shield,235,3.4,7931,0.248
0-17,F,Blue Cross Blue Shield,199,5.4,4225,0.156
0-17,F,Blue Cross Blue Shield,162,7.3,7088,0.141
0-17,F,Blue Cross Blue Shield,160,3.1,6838,0.11
0-17,F,Cigna,59,4.7,8040,0.244
0-17,F,Cigna,217,2.5,8336,0.16
0-17,F,Cigna,133,7.4,7559,0.19
0-17,F,Cigna,164,7.1,8449,0.199
0-17,F,Cigna,116,6.6,4157,0.115
0-17,F,Cigna,179,3.6,6917,0.116
0-17,F,Health Net,130,2.3,5284,0.223
0-17,F,Health Net,98,6.0,5508,0.201
0-17,F,Humana,102,7.1,10636,0.126
0-17,F,Humana,102,6.8,8928,0.21
0-17,F,Kaiser Permanente,104,5.8,8344,0.239
0-17,F,Kaiser Permanente,185,2.4,7542,0.217
0-17,F,Kaiser Permanente,89,4.5,5335,0.159
0-17,F,Kaiser Permanente,60,6.7,5841,0.219
0-17,F,Medicaid,268,6.8,6776,0.165
0-17,F,Medicaid,105,3.0,6710,0.177
0-17,F,Medicaid,84,6.5,10789,0.119
0-17,F,Medicaid,107,2.5,3411,0.196
0-17,F,Medicaid,129,4.3,8356,0.105
0-17,F,Medicaid,205,5.5,8658,0.137
0-17,F,Medicare,103,5.6,6180,0.207
0-17,F,Molina Healthcare,237,4.0,11076,0.193
0-17,F,Molina Healthcare,284,4.4,7064,0.205
0-17,F,Molina Healthcare,267,2.5,7027,0.224
0-17,F,Molina Healthcare,135,7.5,3453,0.222
0-17,F,Molina Healthcare,186,6.5,11796,0.145
0-17,F,Molina Healthcare,63,3.6,7287,0.163
0-17,F,Molina Healthcare,178,4.7,6329,0.148
0-17,F,Tricare,108,7.5,3416,0.183
0-17,F,Tricare,128,7.1,9891,0.192
0-17,F,Tricare,202,3.6,10153,0.189
0-17,F,Tricare,82,6.8,8263,0.116
0-17,F,Tricare,139,7.2,5791,0.187
0-17,F,UnitedHealthcare,168,2.5,8496,0.154
0-17,F,UnitedHealthcare,67,5.4,8259,0.214
0-17,F,UnitedHealthcare,98,3.4,6511,0.182
0-17,F,UnitedHealthcare,209,5.7,7493,0.179
0-17,F,UnitedHealthcare,277,5.9,11726,0.16
0-17,F,UnitedHealthcare,141,6.4,8070,0.159
0-17,M,Aetna,128,7.0,4897,0.219
0-17,M,Aetna,284,6.0,4605,0.124
0-17,M,Aetna,279,3.3,4166,0.168
0-17,M,Aetna,197,7.6,7248,0.105
0-17,M,Anthem,265,4.6,7911,0.111
0-17,M,Anthem,206,4.3,11645,0.124
0-17,M,Blue Cross Blue Shield,123,6.4,6678,0.25
0-17,M,Blue Cross Blue Shield,263,4.7,6807,0.169
0-17,M,Blue Cross Blue Shield,197,5.1,6505,0.1
0-17,M,Blue Cross Blue Shield,229,6.6,5738,0.116
0-17,M,Blue Cross Blue Shield,283,2.7,3833,0.222
0-17,M,Blue Cross Blue Shield,266,3.2,7469,0.228
0-17,M,Cigna,223,6.2,6515,0.139
0-17,M,Cigna,207,5.9,10962,0.15
0-17,M,Cigna,84,2.7,10530,0.237
0-17,M,Cigna,115,5.6,8600,0.121
0-17,M,Cigna,240,4.1,8154,0.21
0-17,M,Cigna,254,7.1,10814,0.248
0-17,M,Health Net,169,7.2,9113,0.17
0-17,M,Health Net,205,5.7,7432,0.146
0-17,M,Health Net,256,3.8,7649,0.176
0-17,M,Humana,81,4.7,8617,0.1
0-17,M,Humana,146,5.8,4378,0.133
0-17,M,Humana,66,7.3,5233,0.163
0-17,M,Humana,133,3.1,3382,0.234
0-17,M,Humana,58,4.6,9205,0.205
0-17,M,Humana,198,7.2,7748,0.126
0-17,M,Humana,101,4.4,5161,0.182
0-17,M,Kaiser Permanente,128,5.3,11164,0.186
0-17,M,Medicaid,275,4.6,4671,0.132
0-17,M,Medicaid,121,4.4,4835,0.22
0-17,M,Medicaid,55,5.3,7988,0.121
0-17,M,Medicaid,186,4.6,7162,0.203
0-17,M,Medicaid,272,7.6,9632,0.124
0-17,M,Medicaid,252,3.6,7850,0.206
0-17,M,Medicare,241,7.1,10074,0.16
0-17,M,Medicare,58,7.2,3755,0.219
0-17,M,Medicare,164,7.4,4969,0.243
0-17,M,Medicare,271,7.3,6796,0.195
0-17,M,Molina Healthcare,162,6.3,7150,0.148
0-17,M,Molina Healthcare,216,5.7,4675,0.107
0-17,M,Molina Healthcare,261,3.2,5421,0.239
0-17,M,Molina Healthcare,214,5.4,10983,0.122
0-17,M,Molina Healthcare,219,4.3,4250,0.212
0-17,M,Molina Healthcare,125,6.2,4585,0.21
0-17,M,Molina Healthcare,157,6.1,11784,0.182
0-17,M,Tricare,90,3.8,7872,0.239
0-17,M,Tricare,113,5.0,7207,0.163
0-17,M,Tricare,276,2.4,4965,0.198
0-17,M,Tricare,207,4.6,6758,0.191
0-17,M,UnitedHealthcare,213,6.4,5815,0.245
0-17,M,UnitedHealthcare,57,4.9,7732,0.176
0-17,M,UnitedHealthcare,176,4.8,9192,0.17
0-17,M,UnitedHealthcare,233,7.7,6528,0.18
0-17,M,UnitedHealthcare,136,5.5,5448,0.206
0-17,M,UnitedHealthcare,138,3.5,6321,0.102
18-29,F,Aetna,90,5.6,10859,0.237
18-29,F,Aetna,283,3.6,11268,0.228
18-29,F,Aetna,201,4.0,8704,0.208
18-29,F,Aetna,107,2.3,9047,0.18
